Citect Anywhere V1.0,Windows Server 2012 Standard x64
Wonderware Batch Management  2017,Windows Server 2012 Standard x64
Avantis PRiSM Server 2018 R1,Windows Server 2012 Standard x64
Avantis PRiSM Client 2018 R1,Windows Server 2012 Standard x64
Citect SCADA 2016,Windows Server 2012 Standard x64
Citect Historian 2016,Windows Server 2012 Standard x64
Avantis PRiSM Client 2018 R1,Windows 7 Enterprise
Citect SCADA V7.20,Windows 7 Enterprise
Citect Historian 2016,Windows 7 Enterprise
SIMSCI DYNSIM 5.2,Windows 7 Enterprise
SIMSCI DYNSIM 5.3,Windows 7 Enterprise
SIMSCI DYNSIM 5.2.1,Windows 7 Enterprise
SIMSCI DYNSIM 5.1,Windows 7 Enterprise
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 7 Embedded Standard SP1 x64
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 7 Embedded Standard SP1 x64
Wonderware Insight Publisher 4.0,Windows 7 Embedded Standard SP1 x64
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 7 Enterprise
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 7 Enterprise
SIMSCI DYNSIM 5.2.1,Windows 7 Enterprise x64
Citect Historian 2016,Windows 7 Enterprise x64
Avantis PRiSM Client 2018 R1,Windows 7 Enterprise x64
Wonderware Prometheus 2017 Update 1 x64,Windows 7 Enterprise x64
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 7 Enterprise x64
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 7 Enterprise x64
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 7 Professional
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 7 Professional
Avantis PRiSM Client 2018 R1,Windows 7 Professional
Citect SCADA V7.20,Windows 7 Professional
Citect Historian 2016,Windows 7 Professional
SIMSCI DYNSIM 5.2,Windows 7 Professional
SIMSCI DYNSIM 5.2.1,Windows 7 Professional
SIMSCI DYNSIM 5.1,Windows 7 Professional
SIMSCI DYNSIM 5.3,Windows 7 Professional
SIMSCI DYNSIM 5.2.1,Windows 7 Professional x64
Citect Historian 2016,Windows 7 Professional x64
Citect SCADA V7.20,Windows 7 Professional x64
Avantis PRiSM Client 2018 R1,Windows 7 Professional x64
Wonderware Prometheus 2017 Update 1 x64,Windows 7 Professional x64
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 7 Professional x64
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 7 Professional x64
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 7 Ultimate
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 7 Ultimate
Avantis PRiSM Client 2018 R1,Windows 7 Ultimate
Citect Historian 2016,Windows 7 Ultimate
Citect Historian 2016,Windows 7 Ultimate x64
Avantis PRiSM Client 2018 R1,Windows 7 Ultimate x64
Wonderware Prometheus 2017 Update 1 x64,Windows 7 Ultimate x64
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 7 Ultimate x64
Wonderware InTouch Edge HMI 2017 (Update 2),Windows 7 Ultimate x64
Ampla Operations Management 2018 R1,Windows 8 Enterprise
Wonderware OPC UA Client 2014 P01,Windows 8 Enterprise
Ampla Operations Management 2018 R2,Windows 8 Enterprise
Avantis PRiSM Client 2018 R1,Windows 8 Enterprise
Citect Historian 2016,Windows 8 Enterprise
Citect Historian 2016,Windows 8 Enterprise x64
Avantis PRiSM Client 2018 R1,Windows 8 Enterprise x64
Ampla Operations Management 2018 R2,Windows 8 Enterprise x64
Wonderware OPC UA Client 2014 P01,Windows 8 Enterprise x64
Ampla Operations Management 2018 R1,Windows 8 Enterprise x64
